Date,Location,Positive_Tweets,Negative_Tweets
2017-04-21,33233,93,7
2017-04-21,34230,98,2
2017-04-21,60446,44,5
2017-04-21,32924,6,1
2017-04-21,60805,40,2
2017-04-21,83002,31,5
2017-04-21,84409,3,0
2017-04-21,85702,8,4
2017-04-21,95406,100,0
2017-04-21,30514,3,0
2017-04-21,78045,13,0
2017-04-21,34278,98,2
2017-04-21,33429,100,0
2017-04-21,39760,17,7
2017-04-21,77292,99,1
2017-04-21,72404,14,8
2017-04-21,94597,99,1
2017-04-21,65805,3,1
2017-04-21,87502,1,0
2017-04-21,35202,99,1
2017-04-21,79120,11,6
2017-04-21,85750,0,2
2017-04-21,95518,8,0
2017-04-21,29118,38,7
2017-04-21,16603,4,0
2017-04-21,31202,5,1
2017-04-21,27702,16,43
2017-04-21,19903,14,7
2017-04-21,78765,99,1
2017-04-21,49544,99,1
2017-04-21,38835,6,0
2017-04-21,8234,2,0
2017-04-21,US,7521,9484
2017-04-21,33119,93,7
2017-04-21,32858,40,42
2017-04-21,38503,53,9
2017-04-21,28791,42,1
2017-04-21,20774,46,1
2017-04-21,32644,3,0
2017-04-21,49081,72,1
2017-04-21,32175,30,3
2017-04-21,28070,100,0
2017-04-21,19969,0,1
2017-04-21,24543,100,0
2017-04-21,38181,3,1
