Date,Location,Positive_Tweets,Negative_Tweets
2017-04-21,32924,6,1
2017-04-21,65805,3,1
2017-04-21,27702,16,43
2017-04-21,38181,3,1
2017-04-21,31202,5,1
2017-04-21,33233,93,7
2017-04-21,84409,3,0
2017-04-21,34278,98,2
2017-04-21,33429,100,0
2017-04-21,24543,100,0
2017-04-21,16603,4,0
2017-04-21,77292,99,1
2017-04-21,32175,30,3
2017-04-21,35202,99,1
2017-04-21,32858,40,42
2017-04-21,34230,98,2
2017-04-21,49081,72,1
2017-04-21,78765,99,1
2017-04-21,19903,14,7
2017-04-21,38503,53,9
2017-04-21,87502,1,0
2017-04-21,95406,100,0
