Date,Location,Positive_Tweets,Negative_Tweets
2017-04-18,32924,10,0
2017-04-19,32924,42,7
2017-04-20,32924,24,4
2017-04-21,32924,6,1
2017-04-20,65805,2,1
2017-04-21,65805,3,1
2017-04-20,27702,14,34
2017-04-21,27702,16,43
2017-04-18,38181,9,0
2017-04-19,38181,15,3
2017-04-20,38181,6,2
2017-04-21,38181,3,1
2017-04-18,31202,8,0
2017-04-19,31202,14,0
2017-04-20,31202,13,0
2017-04-21,31202,5,1
2017-04-20,33233,194,6
2017-04-19,33233,388,12
2017-04-21,33233,93,7
2017-04-20,84409,2,0
2017-04-21,84409,3,0
2017-04-22,84409,3,0
2017-04-20,34278,96,4
2017-04-21,34278,98,2
2017-04-20,33429,98,2
2017-04-21,33429,100,0
2017-04-20,24543,100,0
2017-04-21,24543,100,0
2017-04-22,24543,100,0
2017-04-18,16603,2,0
2017-04-19,16603,28,0
2017-04-20,16603,14,0
2017-04-21,16603,4,0
2017-04-20,77292,98,2
2017-04-21,77292,99,1
2017-04-20,32175,31,4
2017-04-21,32175,30,3
2017-04-20,35202,100,0
2017-04-21,35202,99,1
2017-04-22,35202,98,2
2017-04-20,32858,43,26
2017-04-21,32858,40,42
2017-04-20,34230,96,4
2017-04-21,34230,98,2
2017-04-20,49081,78,1
2017-04-21,49081,72,1
2017-04-20,78765,99,1
2017-04-21,78765,99,1
2017-04-20,19903,18,4
2017-04-21,19903,14,7
2017-04-22,19903,17,7
2017-04-20,38503,48,6
2017-04-21,38503,53,9
2017-04-20,87502,2,0
2017-04-21,87502,1,0
2017-04-20,95406,99,1
2017-04-21,95406,100,0
2017-04-18,32924,10,0
2017-04-19,32924,42,7
2017-04-20,32924,24,4
2017-04-21,32924,6,1
2017-04-20,65805,2,1
2017-04-21,65805,3,1
2017-04-20,27702,14,34
2017-04-21,27702,16,43
2017-04-18,38181,9,0
2017-04-19,38181,15,3
2017-04-20,38181,6,2
2017-04-21,38181,3,1
2017-04-18,31202,8,0
2017-04-19,31202,14,0
2017-04-20,31202,13,0
2017-04-21,31202,5,1
2017-04-20,33233,194,6
2017-04-19,33233,388,12
2017-04-21,33233,93,7
2017-04-20,84409,2,0
2017-04-21,84409,3,0
2017-04-22,84409,3,0
2017-04-20,34278,96,4
2017-04-21,34278,98,2
2017-04-20,33429,98,2
2017-04-21,33429,100,0
2017-04-20,24543,100,0
2017-04-21,24543,100,0
2017-04-22,24543,100,0
2017-04-18,16603,2,0
2017-04-19,16603,28,0
2017-04-20,16603,14,0
2017-04-21,16603,4,0
2017-04-20,77292,98,2
2017-04-21,77292,99,1
2017-04-20,32175,31,4
2017-04-21,32175,30,3
2017-04-20,35202,100,0
2017-04-21,35202,99,1
2017-04-22,35202,98,2
2017-04-20,32858,43,26
2017-04-21,32858,40,42
2017-04-20,34230,96,4
2017-04-21,34230,98,2
2017-04-20,49081,78,1
2017-04-21,49081,72,1
2017-04-20,78765,99,1
2017-04-21,78765,99,1
2017-04-20,19903,18,4
2017-04-21,19903,14,7
2017-04-22,19903,17,7
2017-04-20,38503,48,6
2017-04-21,38503,53,9
2017-04-20,87502,2,0
2017-04-21,87502,1,0
2017-04-20,95406,99,1
2017-04-21,95406,100,0
