Date,Location,Positive_Tweets,Negative_Tweets
2017-04-20,33233,194,6
2017-04-19,33233,388,12
2017-04-21,33233,93,7
2017-04-18,71315,8,0
2017-04-19,71315,28,1
2017-04-22,4930,1,0
2017-04-20,34230,96,4
2017-04-21,34230,98,2
2017-04-22,29718,1,0
2017-04-20,60446,106,8
2017-04-21,60446,44,5
2017-04-18,32924,10,0
2017-04-19,32924,42,7
2017-04-20,32924,24,4
2017-04-21,32924,6,1
2017-04-18,40524,11,0
2017-04-20,40524,12,0
2017-04-19,40524,56,0
2017-04-20,60805,42,2
2017-04-21,60805,40,2
2017-04-18,10029,1,0
2017-04-19,52808,96,80
2017-04-18,52808,12,0
2017-04-20,83002,66,12
2017-04-21,83002,31,5
2017-04-20,84409,2,0
2017-04-21,84409,3,0
2017-04-22,84409,3,0
2017-04-19,90749,16,0
2017-04-18,90749,9,0
2017-04-20,36305,65,29
2017-04-20,85702,8,3
2017-04-21,85702,8,4
2017-04-20,95406,99,1
2017-04-21,95406,100,0
2017-04-18,7845,12,0
2017-04-20,7845,19,0
2017-04-22,13753,1,0
2017-04-19,19715,64,15
2017-04-18,19715,11,0
2017-04-20,19715,260,52
2017-04-18,91908,7,0
2017-04-19,91908,27,0
2017-04-20,30514,3,0
2017-04-21,30514,3,0
2017-04-19,50304,10,28
2017-04-20,78045,97,3
2017-04-21,78045,13,0
2017-04-18,60434,13,0
2017-04-20,60434,77,3
2017-04-19,60434,100,0
2017-04-22,88130,10,0
2017-04-22,21215,100,0
2017-04-20,46235,95,5
2017-04-22,85071,84,0
2017-04-18,75315,10,0
2017-04-20,75315,59,6
2017-04-19,75315,54,5
2017-04-18,94039,12,0
2017-04-19,94039,182,18
2017-04-22,95819,11,1
2017-04-20,34278,96,4
2017-04-21,34278,98,2
2017-04-20,59808,2,0
2017-04-18,28222,10,0
2017-04-20,28222,120,3
2017-04-20,33429,98,2
2017-04-21,33429,100,0
2017-04-20,39760,13,8
2017-04-21,39760,17,7
2017-04-20,29805,4,3
2017-04-20,75085,68,40
2017-04-18,75085,8,0
2017-04-19,75085,62,28
2017-04-18,39296,0,11
2017-04-20,39296,20,4
2017-04-19,39296,15,3
2017-04-20,77292,98,2
2017-04-21,77292,99,1
2017-04-18,30310,1,0
2017-04-20,72404,15,7
2017-04-21,72404,14,8
2017-04-20,35756,31,0
2017-04-20,94597,198,2
2017-04-21,94597,99,1
2017-04-18,38151,12,0
2017-04-20,35128,1,0
2017-04-20,65805,2,1
2017-04-21,65805,3,1
2017-04-20,27658,10,0
2017-04-18,27658,14,0
2017-04-19,27658,12,0
2017-04-19,96830,99,1
2017-04-18,96830,4,0
2017-04-20,96830,100,0
2017-04-19,33153,291,9
2017-04-20,87502,2,0
2017-04-21,87502,1,0
2017-04-20,35202,100,0
2017-04-21,35202,99,1
2017-04-22,35202,98,2
2017-04-22,92415,4,0
2017-04-19,35253,200,0
2017-04-20,35253,99,1
2017-04-20,79120,12,10
2017-04-21,79120,11,6
2017-04-20,85750,0,2
2017-04-21,85750,0,2
2017-04-18,35807,0,11
2017-04-19,35807,21,18
2017-04-22,32905,2,3
2017-04-22,32957,15,0
2017-04-22,32607,14,28
2017-04-22,28311,99,1
2017-04-20,95518,5,0
2017-04-21,95518,8,0
2017-04-20,29118,36,7
2017-04-21,29118,38,7
2017-04-18,16603,2,0
2017-04-19,16603,28,0
2017-04-20,16603,14,0
2017-04-21,16603,4,0
2017-04-18,31202,8,0
2017-04-19,31202,14,0
2017-04-20,31202,13,0
2017-04-21,31202,5,1
2017-04-20,27702,14,34
2017-04-21,27702,16,43
2017-04-18,19564,10,0
2017-04-22,2071,14,0
2017-04-20,19903,18,4
2017-04-21,19903,14,7
2017-04-22,19903,17,7
2017-04-18,60690,0,9
2017-04-20,60690,12,9
2017-04-19,60690,4,3
2017-04-18,19105,10,0
2017-04-19,19105,297,3
2017-04-20,19105,97,3
2017-04-20,78765,99,1
2017-04-21,78765,99,1
2017-04-20,49544,199,1
2017-04-21,49544,99,1
2017-04-18,16103,5,0
2017-04-19,16103,6,0
2017-04-22,29925,7,14
2017-04-20,1062,11,16
2017-04-18,32602,11,0
2017-04-19,32602,11,30
2017-04-20,32602,39,78
2017-04-20,38835,5,0
2017-04-21,38835,6,0
2017-04-22,71611,19,28
2017-04-20,75123,36,0
2017-04-18,75123,6,0
2017-04-22,32778,12,0
2017-04-20,8234,4,0
2017-04-21,8234,2,0
2017-04-20,30172,4,0
2017-04-18,30172,8,0
2017-04-19,US,2502,3747
2017-04-18,US,20310,25931
2017-04-20,US,9782,13052
2017-04-21,US,7521,9484
2017-04-23,US,1264,1600
2017-04-22,US,6231,7950
2017-04-20,33119,98,2
2017-04-21,33119,93,7
2017-04-22,28768,6,2
2017-04-22,31549,1,0
2017-04-18,90210,1,0
2017-04-20,89012,6,3
2017-04-18,31107,12,0
2017-04-19,31107,12,22
2017-04-20,31107,15,54
2017-04-20,32858,43,26
2017-04-21,32858,40,42
2017-04-22,28501,44,1
2017-04-20,38503,48,6
2017-04-21,38503,53,9
2017-04-18,85311,11,0
2017-04-19,85311,78,2
2017-04-20,28791,111,2
2017-04-21,28791,42,1
2017-04-18,94105,2,0
2017-04-18,80934,13,0
2017-04-20,80934,18,0
2017-04-19,80934,36,0
2017-04-22,30511,4,0
2017-04-20,20774,47,0
2017-04-21,20774,46,1
2017-04-20,21704,97,3
2017-04-20,32644,6,0
2017-04-21,32644,3,0
2017-04-18,93121,11,0
2017-04-19,93121,100,0
2017-04-20,49081,78,1
2017-04-21,49081,72,1
2017-04-20,32175,31,4
2017-04-21,32175,30,3
2017-04-20,28070,200,0
2017-04-21,28070,100,0
2017-04-18,94617,10,0
2017-04-19,94617,16,0
2017-04-20,19969,3,0
2017-04-21,19969,0,1
2017-04-20,24543,100,0
2017-04-21,24543,100,0
2017-04-22,24543,100,0
2017-04-18,84605,12,0
2017-04-20,84605,12,0
2017-04-19,84605,6,0
2017-04-18,38181,9,0
2017-04-19,38181,15,3
2017-04-20,38181,6,2
2017-04-21,38181,3,1
